"","field","ini_year","cover_metacommunity_ini","cover_metacommunity_mean","gamma_stab","alpha_stab","sp_stab","species_stab","sp_asynchrony","spatial_asynchrony","pop_synchrony"
"86",5,1976,7452.3,7925.6125,6.98326306372136,3.36401182003926,0.863460549875203,0.835016506118061,4.02867703259943,2.07587352164532,0.407657499079729
"87",5,1978,6222.5,8060.2125,7.10373644580748,3.47253615172124,0.862956875931126,0.849328039085563,4.08856883549963,2.04569114198749,0.386272336682178
"88",5,1980,8642.5,8483.1625,8.74081328921292,3.7350709640326,0.886848665910857,0.868844686378955,4.29889371781634,2.34020005868264,0.366201501467277
"89",5,1982,7151.6,8555.2625,8.51380974761993,3.64166647484782,0.910568879463405,0.892916115377379,4.07839707687291,2.33788838336045,0.368359412986461
"90",5,1984,7343.4,8437.2125,6.88896401974634,3.44909344260605,0.916318010451528,0.906122742564692,3.80643071913604,1.99732600301522,0.379560897216359
"91",5,1986,9611.2,8676,7.44193721974037,3.43092669106956,0.91897650168423,0.902477639106681,3.80167501376064,2.16907497298358,0.39347637396939
"92",5,1988,7797.8,8668,7.4808683492678,3.38935071542215,0.920492936773512,0.909069111342914,3.72837518416533,2.20716856335596,0.374162266739523
"93",5,1990,9183.6,9007.85,7.14240272748778,3.33150704763625,0.922545625708958,0.904428918222117,3.68354768463747,2.14389542791314,0.349846884224958
"94",5,1992,8529.1,9120.025,6.92123340957191,3.2549926637698,0.949409764905037,0.923696381304631,3.52387724976517,2.12634378154205,0.32235826507277
"95",5,1994,9606.1,9285.4025,7.05604197430945,3.28302577768342,0.947933023906946,0.926702021629106,3.54269840904414,2.14924964106994,0.290859598043493
"96",5,1996,9219.3,9134.79,6.80338758113103,3.1412364082946,0.968007992877678,0.947776752946688,3.3143210133909,2.16583112406514,0.272776980519507
"97",5,1998,6207.2,9231.59,6.70355261253045,3.16098286675618,1.01506070228365,0.999207494908605,3.16348994864706,2.12071779414916,0.281418024988162
"98",5,2000,9253.7,9685.065,15.185837125263,3.63826274552305,1.07812846014659,1.05587507388082,3.44573220404833,4.1739253559819,0.273892904585633
