"obs.num.ext" "ext.rnd.mean" "ext.rnd.lower" "ext.rnd.upper" "ext.z.value" "ext.p.value" "obs.ext.rank" "rank.mean" "rank.lower" "rank.upper" "rank.z.value" "rank.p.value" "neg.rank.z.value" "sis.score" "f_p"
"37" 6 11.8348348348348 11 12 -15.0630767225576 0.001 3.5 6.52342342342342 6.45454545454545 6.81818181818182 -38.8596211115904 0.001 38.8596211115904 11.8982721945164 "1_42"
"38" 4 7.88788788788789 7 8 -11.9610474591513 0.001 2.5 4.51053434386768 4.42857142857143 4.71428571428571 -35.456914866116 0.001 35.456914866116 11.7479337034824 "1_43"
"39" 5 9.97197197197197 9 10 -30.1084262580286 0.001 3 5.50166833500167 5.5 5.5 -94.3973497708485 0.001 94.3973497708485 32.1444617564099 "1_44"
"40" 5 13.6536536536537 12 15 -8.72313789724477 0.001 3.6 9.24950183283517 8.5 10.0833333333333 -14.2889809367273 0.001 14.2889809367273 2.78292151974125 "1_45"
"41" 8 15.8678678678679 15 16 -22.0941128829325 0.001 4.5 8.50577243910577 8.39785714285714 8.73333333333333 -58.8811629814373 0.001 58.8811629814373 18.3935250492524 "1_46"
"42" 7 15.7117117117117 14 16 -16.6574662144528 0.001 4.85714285714286 8.51029417696084 8.26404761904762 8.92880952380952 -29.2744211466111 0.001 29.2744211466111 6.30847746607913 "1_47"
"43" 9 20.8348348348348 19 22 -12.7213736266116 0.001 6.22222222222222 11.6641674255709 11.2857142857143 12.3 -20.8986774854165 0.001 20.8986774854165 4.08865192940245 "1_48"
"44" 10 21.6376376376376 20 22 -20.4619320920843 0.001 5.6 11.5374232628619 11.3809523809524 11.9002380952381 -52.5269101231984 0.001 52.5269101231984 16.032489015557 "1_5"
"45" 7 14 14 14 -7e+05 0.001 4 7.5 7.5 7.5 -350000 0.001 350000 -175000 "1_6"
"46" 5 9.94194194194194 9 10 -21.1220878824911 0.001 3 5.49922144366589 5.44444444444444 5.55555555555556 -67.6126236853444 0.001 67.6126236853444 23.2452679014267 "1_7"
"47" 7 13.4004004004004 12 14 -9.15448214864027 0.001 4 7.56927906927907 7.30769230769231 8 -21.5638387632062 0.001 21.5638387632062 6.20467830728299 "1_8"
"48" 8 17.9219219219219 17 18 -35.9759141158366 0.001 4.5 9.50035329447094 9.41176470588235 9.52941176470588 -129.08600046489 0.001 129.08600046489 46.5550431745266 "1_9"
"49" 3 6 6 6 -3e+05 0.001 2 3.5 3.5 3.5 -150000 0.001 150000 -75000 "10_1"
"50" 1 2 2 2 -1e+05 0.001 1 1.5 1.5 1.5 -50000 0.001 50000 -25000 "10_10"
"51" 2 4 4 4 -2e+05 0.001 1.5 2.5 2.5 2.5 -1e+05 0.001 1e+05 -50000 "10_11"
"52" 2 6 6 6 -4e+05 0.001 2 3.5 3.5 3.5 -150000 0.001 150000 -125000 "10_12"
"53" 4 8 8 8 -4e+05 0.001 2.5 4.5 4.5 4.5 -2e+05 0.001 2e+05 -1e+05 "10_13"
"54" 1 2 2 2 -1e+05 0.001 1 1.5 1.5 1.5 -50000 0.001 50000 -25000 "10_14"
"55" 2 6 6 6 -4e+05 0.001 2.5 3.5 3.5 3.5 -1e+05 0.001 1e+05 -150000 "10_15"
